ID,title,type,image,released,timeline,description,series,number,publisher,ranking
1174,The Bad Batch (Season 2),TV Season,https://minirogue.github.io/SWCovers/TV/bad_batch.jpg,03/29/2023,,,The Bad Batch,2,Disney,
1175,Life and Death,TV Episode,https://minirogue.github.io/SWCovers/TV/tales_of_the_jedi.jpg,10/26/2022,,,Tales of the Jedi,101,Disney,
1176,Justice,TV Episode,https://minirogue.github.io/SWCovers/TV/tales_of_the_jedi.jpg,10/26/2022,,,Tales of the Jedi,102,Disney,
1177,Choices,TV Episode,https://minirogue.github.io/SWCovers/TV/tales_of_the_jedi.jpg,10/26/2022,,,Tales of the Jedi,103,Disney,
1178,The Sith Lord,TV Episode,https://minirogue.github.io/SWCovers/TV/tales_of_the_jedi.jpg,10/26/2022,,,Tales of the Jedi,104,Disney,
1179,Practice Makes Perfect,TV Episode,https://minirogue.github.io/SWCovers/TV/tales_of_the_jedi.jpg,10/26/2022,,,Tales of the Jedi,105,Disney,
1180,Resolve,TV Episode,https://minirogue.github.io/SWCovers/TV/tales_of_the_jedi.jpg,10/26/2022,,,Tales of the Jedi,106,Disney,
1181,Tales of the Jedi (Season 1),TV Season,https://minirogue.github.io/SWCovers/TV/tales_of_the_jedi.jpg,10/26/2022,,,Tales of the Jedi,1,Disney,
1182,Jedi: Survivor,Video Game,https://minirogue.github.io/SWCovers/VG/jedi_survivor.jpg,4/26/2023,,,,,Electronic Arts,
1183,Part One: Master and Apprentice,TV Episode,https://minirogue.github.io/SWCovers/TV/ahsoka.jpg,8/22/2023,,,Ahsoka,101,Disney,
1184,Part Two: Toil and Trouble,TV Episode,https://minirogue.github.io/SWCovers/TV/ahsoka.jpg,8/22/2023,,,Ahsoka,102,Disney,
1185,Part Three: Time to Fly,TV Episode,https://minirogue.github.io/SWCovers/TV/ahsoka.jpg,8/29/2023,,,Ahsoka,103,Disney,
1186,Part Four: Fallen Jedi,TV Episode,https://minirogue.github.io/SWCovers/TV/ahsoka.jpg,9/5/2023,,,Ahsoka,104,Disney,
1187,Part Five: Shadow Warrior,TV Episode,https://minirogue.github.io/SWCovers/TV/ahsoka.jpg,9/12/2023,,,Ahsoka,105,Disney,
1188,"Part Six: Far, Far Away",TV Episode,https://minirogue.github.io/SWCovers/TV/ahsoka.jpg,9/19/2023,,,Ahsoka,106,Disney,
1189,Part Seven: Dreams and Madness,TV Episode,https://minirogue.github.io/SWCovers/TV/ahsoka.jpg,9/26/2023,,,Ahsoka,107,Disney,
1190,"Part Eight: The Jedi, the Witch and the Warlord",TV Episode,https://minirogue.github.io/SWCovers/TV/ahsoka.jpg,10/3/2023,,,Ahsoka,108,Disney,
1191,Ahsoka (Season 1),TV Season,https://minirogue.github.io/SWCovers/TV/ahsoka.jpg,10/3/2023,,,Ahsoka,1,Disney,
1192,The Young Jedi/Yoda's Mission,TV Episode,https://minirogue.github.io/SWCovers/TV/young_jedi_adventures.jpg,5/4/2023,,,Young Jedi Adventures,101,Disney,
1193,Nash's race Day/The Lost Jedi,TV Episode,https://minirogue.github.io/SWCovers/TV/young_jedi_adventures.jpg,5/4/2023,,,Young Jedi Adventures,102,Disney,
1194,Get Well Nubs/The Junk Giant,TV Episode,https://minirogue.github.io/SWCovers/TV/young_jedi_adventures.jpg,5/4/2023,,,Young Jedi Adventures,103,Disney,
1195,Lys and the Snowy Mountain Rescue/Attack of the Training Droids,TV Episode,https://minirogue.github.io/SWCovers/TV/young_jedi_adventures.jpg,5/4/2023,,,Young Jedi Adventures,104,Disney,
1196,The Jellyfruit Pursuit/Creature Safari,TV Episode,https://minirogue.github.io/SWCovers/TV/young_jedi_adventures.jpg,5/4/2023,,,Young Jedi Adventures,105,Disney,
1197,Squadron/Forest Defenders,TV Episode,https://minirogue.github.io/SWCovers/TV/young_jedi_adventures.jpg,5/4/2023,,,Young Jedi Adventures,106,Disney,
1198,The Jedi and the Thief/The Missing Kibbin,TV Episode,https://minirogue.github.io/SWCovers/TV/young_jedi_adventures.jpg,5/4/2023,,,Young Jedi Adventures,107,Disney,
1199,The Girl and her Gargantua/The Show Must Go On,TV Episode,https://minirogue.github.io/SWCovers/TV/young_jedi_adventures.jpg,8/2/2023,,,Young Jedi Adventures,108,Disney,
1200,The Princess and the Jedi/Kai's Bad Day,TV Episode,https://minirogue.github.io/SWCovers/TV/young_jedi_adventures.jpg,8/2/2023,,,Young Jedi Adventures,109,Disney,
1201,Visitor's Day/The Growing Green Danger,TV Episode,https://minirogue.github.io/SWCovers/TV/young_jedi_adventures.jpg,8/2/2023,,,Young Jedi Adventures,110,Disney,
1202,The Ganguls/Bad Egg,TV Episode,https://minirogue.github.io/SWCovers/TV/young_jedi_adventures.jpg,8/2/2023,,,Young Jedi Adventures,111,Disney,
1203,Off the Rails/The Thieves of Tharnaka,TV Episode,https://minirogue.github.io/SWCovers/TV/young_jedi_adventures.jpg,8/2/2023,,,Young Jedi Adventures,112,Disney,
1204,Tree Troubles/Big Brother's Bounty,TV Episode,https://minirogue.github.io/SWCovers/TV/young_jedi_adventures.jpg,8/2/2023,,,Young Jedi Adventures,113,Disney,
1205,Charhound Chase/Creature Comforts,TV Episode,https://minirogue.github.io/SWCovers/TV/young_jedi_adventures.jpg,11/8/2023,,,Young Jedi Adventures,114,Disney,
1206,An Adventure with Yoda/The Talon Takeover,TV Episode,https://minirogue.github.io/SWCovers/TV/young_jedi_adventures.jpg,11/9/2023,,,Young Jedi Adventures,115,Disney,
1207,Mystery of the Opal Cave/Clash,TV Episode,https://minirogue.github.io/SWCovers/TV/young_jedi_adventures.jpg,11/10/2023,,,Young Jedi Adventures,116,Disney,
1208,Stuck in the Muck/Junkyard Sleepover,TV Episode,https://minirogue.github.io/SWCovers/TV/young_jedi_adventures.jpg,11/17/2023,,,Young Jedi Adventures,117,Disney,
1209,The Great Leaf Glide/The Harvest Feast,TV Episode,https://minirogue.github.io/SWCovers/TV/young_jedi_adventures.jpg,11/24/2023,,,Young Jedi Adventures,118,Disney,
1210,Life Day/Raxlo Strikes Back,TV Episode,https://minirogue.github.io/SWCovers/TV/young_jedi_adventures.jpg,12/1/2023,,,Young Jedi Adventures,119,Disney,
1211,Meet the Young Jedi,Short,https://minirogue.github.io/SWCovers/TV/young_jedi_adventures.jpg,3/27/2023,,,Young Jedi Adventures,1,Disney,
1212,Lys' Creature Caper,Short,https://minirogue.github.io/SWCovers/TV/young_jedi_adventures.jpg,3/27/2023,,,Young Jedi Adventures,2,Disney,
1213,Kai's Daring Droid Rescue,Short,https://minirogue.github.io/SWCovers/TV/young_jedi_adventures.jpg,3/27/2023,,,Young Jedi Adventures,3,Disney,
1214,Nubs and the Flower Fiasco,Short,https://minirogue.github.io/SWCovers/TV/young_jedi_adventures.jpg,4/3/2023,,,Young Jedi Adventures,4,Disney,
1215,Nash's Firehawk Frenzy,Short,https://minirogue.github.io/SWCovers/TV/young_jedi_adventures.jpg,4/17/2023,,,Young Jedi Adventures,5,Disney,
1216,Taborr's Pirate Showdown,Short,https://minirogue.github.io/SWCovers/TV/young_jedi_adventures.jpg,4/24/2023,,,Young Jedi Adventures,6,Disney,
1217,Young Jedi Adventures (Season 1),TV Season,https://minirogue.github.io/SWCovers/TV/young_jedi_adventures.jpg,12/1/2023,,,Young Jedi Adventures,1,Disney,
1218,Jedi: Battle Scars,Original Novel,https://minirogue.github.io/SWCovers/Novels/jedi_battle_scars.jpg,3/7/2023,,,,,Random House Worlds,
1219,Return of the Jedi: The Battle of Endor,Youth,https://minirogue.github.io/SWCovers/Youth/rotj_battle_of_endor.jpg,3/7/2023,,,,,Disney-Lucasfilm Press,
1220,Hunters: Battle for the Arena,Youth,https://minirogue.github.io/SWCovers/Youth/hunters_battle_for_the_arena.jpg,3/7/2023,,,,,Disney-Lucasfilm Press,
1221,The High Republic: The Battle of Jedha,Audiobook,https://minirogue.github.io/SWCovers/Novels/the_battle_of_jedha.jpg,1/3/2023,,,,,Random House Audio,
1222,The Booke of Boba Fett Junior Novel,Youth,https://minirogue.github.io/SWCovers/Youth/book_of_boba_fett_junior.jpg,1/3/2023,,,,,Disney-Lucasfilm Press,
1223,The High Republic: Convergence,Original Novel,https://minirogue.github.io/SWCovers/Novels/convergence.jpg,11/22/2022,,,,,Del Rey Books,
1224,The High Republic: Quest for the Hidden City,Youth,https://minirogue.github.io/SWCovers/Youth/quest_for_the_hidden_city.jpg,11/1/2022,,,,,Disney-Lucasfilm Press,
1225,The High Republic: Path of Deceit,Original Novel,https://minirogue.github.io/SWCovers/Novels/path_of_deceit.jpg,10/4/2022,,,,,Disney-Lucasfilm Press,
1226,The Princess and the Scoundrel,Original Novel,https://minirogue.github.io/SWCovers/Novels/the_princess_and_the_scoundrel.jpg,8/16/2022,,,,,Del Rey Books,
1227,Padawan,Original Novel,https://minirogue.github.io/SWCovers/Novels/padawan.jpg,7/26/2022,,,,,Disney-Lucasfilm Press,
1228,Shadow of the Sith,Original Novel,https://minirogue.github.io/SWCovers/Novels/shadow_of_the_sith.jpg,6/28/2022,,,,,Del Rey Books,
1229,The High Republic: The Eye of Darkness,Original Novel,https://minirogue.github.io/SWCovers/Novels/the_eye_of_darkness.jpg,11/14/2023,,,,,Random House Worlds,
1230,"Young Jedi Adventures: Get Well, Nubs!",Youth,https://minirogue.github.io/SWCovers/Youth/young_jedi_adventures_get_well_nubs.jpg,7/18/2023,,,,,Golden Books,
1231,Inquisitor: Rise of the Red Blade,Original Novel,https://minirogue.github.io/SWCovers/Novels/inquisitor_rise_of_the_red_blade.jpg,7/18/2023,,,,,Random House Worlds,
1232,The High Republic: Path of Vengeance,Original Novel,https://minirogue.github.io/SWCovers/Novels/path_of_vengeance.jpg,5/2/2023,,,,,Disney-Lucasfilm Press,
1233,Young Jedi Adventures: Jedi Training,Youth,https://minirogue.github.io/SWCovers/Youth/young_jedi_adventures_jedi_training.jpg,5/2/2023,,,,,Disney-Lucasfilm Press,
1234,The High Republic: Cataclysm,Original Novel,https://minirogue.github.io/SWCovers/Novels/cataclysm.jpg,4/4/2023,,,,,Random House Worlds,
1235,The High Republic: Quest for Planet X,Youth,https://minirogue.github.io/SWCovers/Youth/quest_for_planet_x.jpg,4/4/2023,,,,,Disney-Lucasfilm Press,
1236,Darth Vader (2020) #24,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_2020_24.jpg,6/29/2022,,,Darth Vader (2020),24,Marvel,
1237,Obi-Wan #2,Comic Book,https://minirogue.github.io/SWCovers/Comics/ob_wan_2.jpg,6/29/2022,,,Obi-Wan (comic),2,Marvel,
1238,The Halcyon Legacy #4,Comic Book,https://minirogue.github.io/SWCovers/Comics/halcyon_legacy_4.jpg,7/6/2022,,,Halcyon Legacy,4,Marvel,
1239,The Mandalorian #1,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/the_mandalorian_1.jpg,7/13/2022,,,The Mandalorian (comic),1,Marvel,
1240,The Mandalorian #2,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/the_mandalorian_2.jpg,8/17/2022,,,The Mandalorian (comic),2,Marvel,
1241,The Mandalorian #3,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/the_mandalorian_3.jpg,9/21/2022,,,The Mandalorian (comic),3,Marvel,
1242,The Mandalorian #4,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/the_mandalorian_4.jpg,10/5/2022,,,The Mandalorian (comic),4,Marvel,
1243,The Mandalorian #5,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/the_mandalorian_5.jpg,11/2/2022,,,The Mandalorian (comic),5,Marvel,
1244,The Mandalorian #6,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/the_mandalorian_6.jpg,12/14/2022,,,The Mandalorian (comic),6,Marvel,
1245,The Mandalorian #7,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/the_mandalorian_7.jpg,1/11/2023,,,The Mandalorian (comic),7,Marvel,
1246,The Mandalorian #8,Comic Adaptation,https://minirogue.github.io/SWCovers/Comics/the_mandalorian_8.jpg,3/1/2023,,,The Mandalorian (comic),8,Marvel,
1247,Han Solo & Chewbacca #03,Comic Book,https://minirogue.github.io/SWCovers/Comics/han_solo_chewbacca_3.jpg,7/13/2022,,,Han Solo & Chewbacca,3,Marvel,
1248,Han Solo & Chewbacca #04,Comic Book,https://minirogue.github.io/SWCovers/Comics/han_solo_chewbacca_4.jpg,7/20/2022,,,Han Solo & Chewbacca,4,Marvel,
1249,Han Solo & Chewbacca #05,Comic Book,https://minirogue.github.io/SWCovers/Comics/han_solo_chewbacca_5.jpg,8/10/2022,,,Han Solo & Chewbacca,5,Marvel,
1250,Han Solo & Chewbacca #06,Comic Book,https://minirogue.github.io/SWCovers/Comics/han_solo_chewbacca_6.jpg,9/28/2022,,,Han Solo & Chewbacca,6,Marvel,
1251,Han Solo & Chewbacca #07,Comic Book,https://minirogue.github.io/SWCovers/Comics/han_solo_chewbacca_7.jpg,11/16/2022,,,Han Solo & Chewbacca,7,Marvel,
1252,Han Solo & Chewbacca #08,Comic Book,https://minirogue.github.io/SWCovers/Comics/han_solo_chewbacca_8.jpg,12/28/2022,,,Han Solo & Chewbacca,8,Marvel,
1253,Han Solo & Chewbacca #09,Comic Book,https://minirogue.github.io/SWCovers/Comics/han_solo_chewbacca_9.jpg,1/18/2023,,,Han Solo & Chewbacca,9,Marvel,
1254,Han Solo & Chewbacca #10,Comic Book,https://minirogue.github.io/SWCovers/Comics/han_solo_chewbacca_10.jpg,3/1/2023,,,Han Solo & Chewbacca,10,Marvel,
1255,Doctor Aphra (2020) #21,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_2020_21.jpg,7/13/2022,,,Doctor Aphra (2020),21,Marvel,
1256,Doctor Aphra (2020) #22,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_2020_22.jpg,7/27/2022,,,Doctor Aphra (2020),22,Marvel,
1257,Doctor Aphra (2020) #23,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_2020_23.jpg,8/24/2022,,,Doctor Aphra (2020),23,Marvel,
1258,Doctor Aphra (2020) #24,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_2020_24.jpg,9/28/2022,,,Doctor Aphra (2020),24,Marvel,
1259,Doctor Aphra (2020) #25,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_2020_25.jpg,10/26/2022,,,Doctor Aphra (2020),25,Marvel,
1260,Doctor Aphra (2020) #26,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_2020_26.jpg,11/16/2022,,,Doctor Aphra (2020),26,Marvel,
1261,Doctor Aphra (2020) #27,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_2020_27.jpg,12/28/2022,,,Doctor Aphra (2020),27,Marvel,
1262,Doctor Aphra (2020) #28,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_2020_28.jpg,1/25/2023,,,Doctor Aphra (2020),28,Marvel,
1263,Doctor Aphra (2020) #29,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_2020_29.jpg,2/22/2023,,,Doctor Aphra (2020),29,Marvel,
1264,Doctor Aphra (2020) #30,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_2020_30.jpg,4/12/2023,,,Doctor Aphra (2020),30,Marvel,
1265,Doctor Aphra (2020) #31,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_2020_31.jpg,5/3/2023,,,Doctor Aphra (2020),31,Marvel,
1266,Doctor Aphra (2020) #32,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_2020_32.jpg,5/31/2023,,,Doctor Aphra (2020),32,Marvel,
1267,Doctor Aphra (2020) #33,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_2020_33.jpg,6/28/2023,,,Doctor Aphra (2020),33,Marvel,
1268,Doctor Aphra (2020) #34,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_2020_34.jpg,7/19/2023,,,Doctor Aphra (2020),34,Marvel,
1269,Doctor Aphra (2020) #35,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_2020_35.jpg,8/23/2023,,,Doctor Aphra (2020),35,Marvel,
1270,Doctor Aphra (2020) #36,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_2020_36.jpg,9/27/2023,,,Doctor Aphra (2020),36,Marvel,
1271,Doctor Aphra (2020) #37,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_2020_37.jpg,10/25/2023,,,Doctor Aphra (2020),37,Marvel,
1272,Doctor Aphra (2020) #38,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_2020_38.jpg,11/15/2023,,,Doctor Aphra (2020),38,Marvel,
1273,Doctor Aphra (2020) #39,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_2020_39.jpg,12/20/2023,,,Doctor Aphra (2020),39,Marvel,
1274,Doctor Aphra (2020) #40,Comic Book,https://minirogue.github.io/SWCovers/Comics/doctor_aphra_2020_40.jpg,1/31/2024,,,Doctor Aphra (2020),40,Marvel,
1275,Bounty Hunters #25,Comic Book,https://minirogue.github.io/SWCovers/Comics/bounty_hunters_25.jpg,7/13/2022,,,Bounty Hunters,25,Marvel,
1276,Bounty Hunters #26,Comic Book,https://minirogue.github.io/SWCovers/Comics/bounty_hunters_26.jpg,8/10/2022,,,Bounty Hunters,26,Marvel,
1277,Bounty Hunters #27,Comic Book,https://minirogue.github.io/SWCovers/Comics/bounty_hunters_27.jpg,9/14/2022,,,Bounty Hunters,27,Marvel,
1278,Bounty Hunters #28,Comic Book,https://minirogue.github.io/SWCovers/Comics/bounty_hunters_28.jpg,11/2/2022,,,Bounty Hunters,28,Marvel,
1279,Bounty Hunters #29,Comic Book,https://minirogue.github.io/SWCovers/Comics/bounty_hunters_29.jpg,12/14/2022,,,Bounty Hunters,29,Marvel,
1280,Bounty Hunters #30,Comic Book,https://minirogue.github.io/SWCovers/Comics/bounty_hunters_30.jpg,1/18/2023,,,Bounty Hunters,30,Marvel,
1281,Bounty Hunters #31,Comic Book,https://minirogue.github.io/SWCovers/Comics/bounty_hunters_31.jpg,2/15/2023,,,Bounty Hunters,31,Marvel,
1282,Bounty Hunters #32,Comic Book,https://minirogue.github.io/SWCovers/Comics/bounty_hunters_32.jpg,3/8/2023,,,Bounty Hunters,32,Marvel,
1283,Bounty Hunters #33,Comic Book,https://minirogue.github.io/SWCovers/Comics/bounty_hunters_33.jpg,4/12/2023,,,Bounty Hunters,33,Marvel,
1284,Bounty Hunters #34,Comic Book,https://minirogue.github.io/SWCovers/Comics/bounty_hunters_34.jpg,5/17/2023,,,Bounty Hunters,34,Marvel,
1285,Bounty Hunters #35,Comic Book,https://minirogue.github.io/SWCovers/Comics/bounty_hunters_35.jpg,6/21/2023,,,Bounty Hunters,35,Marvel,
1286,Bounty Hunters #36,Comic Book,https://minirogue.github.io/SWCovers/Comics/bounty_hunters_36.jpg,7/12/2023,,,Bounty Hunters,36,Marvel,
1287,Bounty Hunters #37,Comic Book,https://minirogue.github.io/SWCovers/Comics/bounty_hunters_37.jpg,8/30/2023,,,Bounty Hunters,37,Marvel,
1288,Bounty Hunters #38,Comic Book,https://minirogue.github.io/SWCovers/Comics/bounty_hunters_38.jpg,9/20/2023,,,Bounty Hunters,38,Marvel,
1289,Bounty Hunters #39,Comic Book,https://minirogue.github.io/SWCovers/Comics/bounty_hunters_39.jpg,10/4/2023,,,Bounty Hunters,39,Marvel,
1290,Bounty Hunters #40,Comic Book,https://minirogue.github.io/SWCovers/Comics/bounty_hunters_40.jpg,11/22/2023,,,Bounty Hunters,40,Marvel,
1291,Bounty Hunters #41,Comic Book,https://minirogue.github.io/SWCovers/Comics/bounty_hunters_41.jpg,12/13/2023,,,Bounty Hunters,41,Marvel,
1292,Bounty Hunters #42,Comic Book,https://minirogue.github.io/SWCovers/Comics/bounty_hunters_42.jpg,1/17/2024,,,Bounty Hunters,42,Marvel,
1293,Darth Vader (2020) #25,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_2020_25.jpg,7/20/2022,,,Darth Vader (2020),25,Marvel,
1294,Darth Vader (2020) #26,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_2020_25.jpg,8/24/2022,,,Darth Vader (2020),26,Marvel,
1295,Darth Vader (2020) #27,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_2020_25.jpg,9/21/2022,,,Darth Vader (2020),27,Marvel,
1296,Darth Vader (2020) #28,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_2020_25.jpg,10/19/2022,,,Darth Vader (2020),28,Marvel,
1297,Darth Vader (2020) #29,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_2020_25.jpg,11/30/2022,,,Darth Vader (2020),29,Marvel,
1298,Darth Vader (2020) #30,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_2020_25.jpg,1/11/2023,,,Darth Vader (2020),30,Marvel,
1299,Darth Vader (2020) #31,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_2020_25.jpg,2/8/2023,,,Darth Vader (2020),31,Marvel,
1300,Darth Vader (2020) #32,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_2020_25.jpg,3/22/2023,,,Darth Vader (2020),32,Marvel,
1301,Darth Vader (2020) #33,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_2020_25.jpg,5/3/2023,,,Darth Vader (2020),33,Marvel,
1302,Darth Vader (2020) #34,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_2020_25.jpg,5/10/2023,,,Darth Vader (2020),34,Marvel,
1303,Darth Vader (2020) #35,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_2020_25.jpg,6/14/2023,,,Darth Vader (2020),35,Marvel,
1304,Darth Vader (2020) #36,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_2020_25.jpg,7/12/2023,,,Darth Vader (2020),36,Marvel,
1305,Darth Vader (2020) #37,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_2020_25.jpg,8/16/2023,,,Darth Vader (2020),37,Marvel,
1306,Darth Vader (2020) #38,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_2020_25.jpg,9/13/2023,,,Darth Vader (2020),38,Marvel,
1307,Darth Vader (2020) #39,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_2020_25.jpg,10/4/2023,,,Darth Vader (2020),39,Marvel,
1308,Darth Vader (2020) #40,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_2020_25.jpg,11/8/2023,,,Darth Vader (2020),40,Marvel,
1309,Darth Vader (2020) #41,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_2020_25.jpg,12/20/2023,,,Darth Vader (2020),41,Marvel,
1310,Darth Vader (2020) #42,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_2020_25.jpg,1/3/2024,,,Darth Vader (2020),42,Marvel,
1311,Darth Vader (2020) #43,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_2020_25.jpg,2/14/2024,,,Darth Vader (2020),43,Marvel,
1312,Darth Vader (2020) #44,Comic Book,https://minirogue.github.io/SWCovers/Comics/darth_vader_2020_25.jpg,3/13/2024,,,Darth Vader (2020),44,Marvel,
1313,Obi-Wan #3,Comic Book,https://minirogue.github.io/SWCovers/Comics/ob_wan_3.jpg,7/27/2022,,,Obi-Wan (comic),3,Marvel,
1314,Obi-Wan #4,Comic Book,https://minirogue.github.io/SWCovers/Comics/ob_wan_4.jpg,8/31/2022,,,Obi-Wan (comic),4,Marvel,
1315,Obi-Wan #5,Comic Book,https://minirogue.github.io/SWCovers/Comics/ob_wan_5.jpg,9/14/2022,,,Obi-Wan (comic),5,Marvel,
1316,Star Wars (2020) #25,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_2020_25.jpg,7/20/2022,,,Marvel's Star Wars (2020),25,Marvel,
1317,Star Wars (2020) #26,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_2020_26.jpg,8/17/2022,,,Marvel's Star Wars (2020),26,Marvel,
1318,Star Wars (2020) #27,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_2020_27.jpg,9/7/2022,,,Marvel's Star Wars (2020),27,Marvel,
1319,Star Wars (2020) #28,Comic Book,https://minirogue.github.io/SWCovers/Comics/star_wars_2020_28.jpg,10/12/2022,,,Marvel's Star Wars (2020),28,Marvel,
